month_start,region,revenue_target,margin_target_pct
2025-01-01,North,8802.73,0.3000
2025-01-01,South,2500.00,0.2900
2025-01-01,East,9917.36,0.3100
2025-01-01,West,6704.91,0.3200
2025-02-01,North,6942.48,0.3000
2025-02-01,South,4764.50,0.2900
2025-02-01,East,6759.31,0.3100
2025-02-01,West,5081.05,0.3200
2025-03-01,North,9606.36,0.3000
2025-03-01,South,7962.05,0.2900
2025-03-01,East,8005.13,0.3100
2025-03-01,West,6433.64,0.3200
2025-04-01,North,7064.79,0.3000
2025-04-01,South,9424.17,0.2900
2025-04-01,East,9909.33,0.3100
2025-04-01,West,4617.41,0.3200
2025-05-01,North,12906.02,0.3000
2025-05-01,South,6788.50,0.2900
2025-05-01,East,9586.57,0.3100
2025-05-01,West,4521.40,0.3200
2025-06-01,North,10315.10,0.3000
2025-06-01,South,4187.91,0.2900
2025-06-01,East,11135.40,0.3100
2025-06-01,West,7254.86,0.3200
2025-07-01,North,6673.49,0.3000
2025-07-01,South,7369.23,0.2900
2025-07-01,East,12657.70,0.3100
2025-07-01,West,8015.40,0.3200
2025-08-01,North,10035.65,0.3000
2025-08-01,South,7411.33,0.2900
2025-08-01,East,11161.66,0.3100
2025-08-01,West,8767.11,0.3200
2025-09-01,North,8368.57,0.3000
2025-09-01,South,8061.74,0.2900
2025-09-01,East,12708.15,0.3100
2025-09-01,West,6044.26,0.3200
2025-10-01,North,8220.38,0.3000
2025-10-01,South,6603.63,0.2900
2025-10-01,East,9716.84,0.3100
2025-10-01,West,10081.85,0.3200
2025-11-01,North,5871.46,0.3000
2025-11-01,South,4676.21,0.2900
2025-11-01,East,16478.75,0.3100
2025-11-01,West,10261.17,0.3200
2025-12-01,North,6586.70,0.3000
2025-12-01,South,9590.80,0.2900
2025-12-01,East,14040.48,0.3100
2025-12-01,West,5878.30,0.3200
