order_line_id,order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,sales_channel,payment_mode,order_status
OL00001-1,O00001,2025-01-01,C080,P001,2,89.03,0.0900,Online,Card,COMPLETED
OL00002-1,O00002,2025-01-02,C006,P010,3,83.47,0.0900,Partner,Bank Transfer,COMPLETED
OL00002-2,O00002,2025-01-02,C006,P006,2,455.58,0.0900,Partner,Bank Transfer,COMPLETED
OL00003-1,O00003,2025-01-03,C046,P013,3,88.20,0.0600,Retail,Bank Transfer,COMPLETED
OL00003-2,O00003,2025-01-03,C046,P006,5,451.10,0.0400,Retail,Bank Transfer,COMPLETED
OL00004-1,O00004,2025-01-04,C060,P007,1,68.07,0.0800,Partner,Wallet,COMPLETED
OL00005-1,O00005,2025-01-05,C031,P006,3,451.34,0.0700,Online,Card,COMPLETED
OL00005-2,O00005,2025-01-05,C031,P007,3,68.57,0.0600,Online,Card,COMPLETED
OL00006-1,O00006,2025-01-05,C022,P005,4,325.81,0.0400,Retail,Wallet,COMPLETED
OL00007-1,O00007,2025-01-06,C040,P007,4,69.23,0.0700,Online,UPI,COMPLETED
OL00008-1,O00008,2025-01-07,C070,P016,1,73.75,0.0400,Retail,Card,COMPLETED
OL00008-2,O00008,2025-01-07,C070,P001,3,89.81,0.0600,Retail,Card,COMPLETED
OL00009-1,O00009,2025-01-08,C058,P002,3,188.90,0.0800,Online,UPI,COMPLETED
OL00009-2,O00009,2025-01-08,C058,P004,5,108.30,0.0600,Online,UPI,COMPLETED
OL00010-1,O00010,2025-01-08,C072,P002,2,187.58,0.0600,Online,Bank Transfer,COMPLETED
OL00011-1,O00011,2025-01-09,C033,P009,2,99.60,0.0500,Online,UPI,RETURNED
OL00011-2,O00011,2025-01-09,C033,P013,3,89.29,0.0500,Online,UPI,RETURNED
OL00012-1,O00012,2025-01-10,C012,P015,1,64.14,0.0400,Online,Card,COMPLETED
OL00012-2,O00012,2025-01-10,C012,P013,2,88.68,0.0500,Online,Card,COMPLETED
OL00013-1,O00013,2025-01-11,C078,P013,1,88.15,0.0800,Partner,Card,COMPLETED
OL00014-1,O00014,2025-01-11,C053,P002,1,191.45,0.1100,Online,Bank Transfer,RETURNED
OL00014-2,O00014,2025-01-11,C053,P015,1,64.87,0.0900,Online,Bank Transfer,RETURNED
OL00014-3,O00014,2025-01-11,C053,P003,1,238.50,0.1100,Online,Bank Transfer,RETURNED
OL00015-1,O00015,2025-01-12,C011,P003,3,240.69,0.0700,Retail,Card,COMPLETED
OL00016-1,O00016,2025-01-13,C037,P004,2,107.53,0.0800,Online,UPI,COMPLETED
OL00017-1,O00017,2025-01-13,C032,P011,4,28.64,0.1100,Online,Card,COMPLETED
OL00017-2,O00017,2025-01-13,C032,P016,2,73.96,0.0900,Online,Card,COMPLETED
OL00017-3,O00017,2025-01-13,C032,P010,4,84.83,0.0900,Online,Card,COMPLETED
OL00018-1,O00018,2025-01-14,C052,P015,2,63.98,0.0800,Online,Card,COMPLETED
OL00018-2,O00018,2025-01-14,C052,P013,5,87.75,0.0800,Online,Card,COMPLETED
OL00019-1,O00019,2025-01-15,C006,P010,4,82.87,0.0300,Retail,Bank Transfer,COMPLETED
OL00019-2,O00019,2025-01-15,C006,P009,2,98.78,0.0300,Retail,Bank Transfer,COMPLETED
OL00020-1,O00020,2025-01-15,C023,P003,2,237.29,0.1100,Online,Bank Transfer,COMPLETED
OL00021-1,O00021,2025-01-16,C036,P015,5,63.05,0.0600,Online,Wallet,COMPLETED
OL00021-2,O00021,2025-01-16,C036,P005,1,325.83,0.0400,Online,Wallet,COMPLETED
